product_name,price,rating,sold,address
Vivo Y35 Ram 8 Rom 128GB (Second),1.425.000,4.9,117 Terjual,Surabaya
DUX DUCIS AIMO SAMSUNG A26 5G / A36 5G / A56 5G / A35 5G / A55 5G / A15 5G / A25 5G /  A24 / A34 5G / A54 5G / A14 5G / A14 LTE 5G MOBILE PHONE CASE AIMO DUX DUCIS,65,4.9,269 Terjual,Jakarta Pusat
iphone 12 pro max 256gb 128GB ibox Like New Mulus Lengkap Fullset -Original,11.999.999,5,55 Terjual,Jakarta Selatan
iPhone 13 128GB 256GB | Lcd 100% Original | Fullset | No Refurbish | Like New,5.699.000,4.8,"2,7RB Terjual",Jakarta Barat
Xiaomi Poco X5 Pro 5G 8GB+256GB - 6GB+128GB Garansi Resmi Poco X5 Pro 5G,2.371.000,4.9,337 Terjual,Jakarta Pusat
Apple iPhone 12,10.499.000,4.9,"4,7RB Terjual",Jakarta Selatan
iP 11 pro / iP 11 pro max 64 gb 256 gb | 100% Lcd Original | Fullset | Mulus | No Refurbish | No Rekondisi,4.399.000,4.9,"1,1RB Terjual",Jakarta Barat
Poco M4 Pro RAM 8/256 & 6/128  5000mAh GARANSI RESMI XIAOMi 1 tahun,1.899.000,5,80 Terjual,Bogor
mesin hp Oppo F1s 3/32 slot panjang mesin hidup normal bonus kesing,152.8,5,5 Terjual,Kab. Cirebon
XIAOMI Redmi 13 NFC 8/256GB ( +8GB Extended Ram ) Garansi Resmi Xiaomi,1.899.000,4.8,"3,2RB Terjual",Bekasi
Vivo Y28 8/256GB 8/128GB Handphone second fullset original bergaransi,1.499.000,4.9,56 Terjual,Jakarta Selatan
Promo 6.6 sale handphone vivo y12s 3/32 original second resmi garansi bonus tg&softcase,1.050.000,4.9,34 Terjual,Tegal
Xiaomi Poco M6 8GB/256GB Garansi Resmi BNIB [NON REPACK],1.735.000,5,185 Terjual,Kab. Bogor
Xiaomi Poco M6pro ram 8/256 M4pro pocophone m6pro- poco m4 pro NFC Ram 8/256gb Ram 6/128 6GB (Extended) Garansi Resmi,1.999.000,4.8,256 Terjual,Tangerang
POCO M3 PRO 5G RAM 4/64 GB & 6/128 GB ORIGINAL GARANSI RESMI,2.199.000,4.8,205 Terjual,Kab. Tangerang
VIVO Y19 RAM 8/256GB FULLLSET GARAANSI 12 BULAN,655,4.6,"1,8RB Terjual",Jakarta Barat
XIAOMI REDMI 5A 3/32 GB FULLSET BARU GARANSI 1 TAHUN,358,4.4,"3,2RB Terjual",Jakarta Barat
Hp OPPO A9 2020 RAM 8+256GB 4G LTE Garansi 1 Tahun Grosir,779,4.8,155 Terjual,Jakarta Barat
Hp OPPO A31 RAM 8+256GB 4G LTE Garansi 1 Tahun Grosir,669,4.7,485 Terjual,Jakarta Barat
【Bisa COD】2024 NEW lNFlNlX Smart 9 RAM8GB+ROM128GB 7000aMh 2025 android Garansi resmi 7.5inci hp promo HD Handphone 4G 5G WIFl DualCard SlM hp murah ori Smartphone handphone cuci gudang,939.51,4.7,122 Terjual,Jakarta Utara
【Hp baru】Hp asli murah Hot reno5pro  7.3 inci 12GB + 512GB Android 13 7800mAh hp android 4g/5g murah Dual SIM Hp murah cuci gudang 100% ponsel baru Lowest Price handphone murah Smartphone gaming phone Bisa COD,776.1,5,11 Terjual,Kab. Tangerang
HP VIVO Y17 8 256GB  GARANSI Toko,655,4.5,"3,3RB Terjual",Jakarta Barat
Vivo Y67 4/32GB 4G | Vivo Y67 4/64GB 4G | Vivo Y66 3/32GB 4G | Vivo Y55 2/16GB 4G | HP Vivo Second,300,4.8,193 Terjual,Jakarta Pusat
HP VIVO Y17 Ram 8gb/256gb Murah Handphone 6.35 Inci 5000 Mah Android Smartphone Garansi 1 Tahun,603.9,4.6,283 Terjual,Jakarta Utara
HP VIVO Y19 Ram 8 256GB Smartphone Android 4G,619,4.7,262 Terjual,Jakarta Utara
new VIVO Y17 RAM 8GB/256GB MURAH Handphone 6.35 inci 5000 mAh ANDROID Smartphone Garansi 1 Tahun,584,4.6,93 Terjual,Jakarta Utara
HP VIVO Y55 RAM 3/32GB  HP VIVO Y66 RAM 4/64GB HP VIVO Y67 RAM 6/128GB 4G Smartphone Android  GARANSI 1Tahun,359,4.5,10RB+ Terjual,Jakarta Barat
HP VIVO Y71 RAM 6/128GB 4G Android Smartphone GARANSI,398,4.6,898 Terjual,Jakarta Pusat
HP VIVO Y67 6+128GB Hp Murah Smartphone Fullset Garansi 12 Bulan,359,4.5,"2,9RB Terjual",Jakarta Barat
"VIVO Y71 RAM 6/128 6 INCH DUAL SIM ANDROID SMARTPHONE 100% BARU, SEGEL DAN BERGARANSI",375,4.6,1RB Terjual,Jakarta Pusat
android murah samsung galaxy j2 4g lte pernah pakai,275,4.1,56 Terjual,Tangerang
IP 13 128GB 256GB Second ORI 100%Asli Fullset Mulus Kondisi Perfect Jaringan aman Unlocked phone,5.428.000,5,1 Terjual,Jakarta Barat
Xiaomi Redmi Note 14 5G | 108MP AI Camera System with OIS | MediaTek Dimensity 7025 Ultra | Corning Gorilla Glass 5 | IP64 Dust and Water-Resistant [Official Store],3.199.000,4.9,10RB+ Terjual,Kab. Tangerang
POCO F6 (8/256GB) (12/512GB) | Snapdragon 8s Gen 3 | LiquidCool Technology 4.0 dengan IceLoop | Layar AMOLED CrystalRes 120Hz Flow [ Official Store ],4.549.000,4.9,10RB+ Terjual,Kab. Tangerang
Xiaomi Redmi 13 - Xioami Redmi 13 NFC Ram 8/128GB - Ram 8/256GB Garansi Resmi XIAOMI INDONESIA,1.369.000,4.6,22 Terjual,Jakarta Barat
OPP0 A78 5G 8/256GB | Layar AMOLED 6.56” Jernih | Kamera 50MP | Baterai 5000mAh Tahan Lama | Dual SIM | Garansi Toko 12 Bulan,953,5,77 Terjual,Jakarta Utara
SMARTPHONE ANDROID A78 5G RAM 8/256 GB DAN 8/128 FAST CHARGING 33 WATT SUPERVOOC GARANSI 1 TAHUN GRESS SEGEL DAN BARU,829.905,5,23 Terjual,Tasikmalaya
POCO F6 (8/256GB) (12/512GB) | Snapdragon 8s Gen 3 | LiquidCool Technology 4.0 dengan IceLoop | Layar AMOLED CrystalRes 120Hz Flow [ Official Store ],4.599.000,4.9,10RB+ Terjual,Kab. Tangerang
"SAMSUNG Galaxy A06 4/64GB | 4/128GB - Layar 6,7 inch - Mediatek Helio G85 Garansi Resmi",1.125.000,5,335 Terjual,Binjai
"vivo iQOO Z9 5G (12/256) Snapdragon 7 Gen 3, 6000 mAH, 144Hz AMOLED (4500 nits), Sony IMX882",4.499.000,4.9,3RB Terjual,Kab. Tangerang
HP Samsung A14 4G Ram 6/128GB Smartphone Let 6.6 Inch Dual Sim 50MP+13MP Handphone,1.200.000,4.9,86 Terjual,Jakarta Barat
Poco c71 garansi resmi,1.085.000,,2 Terjual,Kab. Wonosobo
Redmi 13C 8/256GB | Kamera HD | NFC | Baterai Besar | Garansi 1 Tahun,953,5,3 Terjual,Jakarta Utara
REALME NOTE 60X RAM 4/64 4/128 GARANSI RESMI,1.080.000,5,32 Terjual,Palembang
REALME C71 RAM 4/128 6/128 8/128 GARANSI RESMI,1.633.000,,17 Terjual,Palembang
HP OPPO A31 8/256GB original 100%  Segel 4G LTE Smartphone murah Garansi penuh 12 bulan Promosi,649.7,5,52 Terjual,Jakarta Barat
"Vivo Y17 RAM 8/256GB - Layar 6.35"" - Baterai 5000mAh - Garansi 1 Tahun",490,4.7,368 Terjual,Jakarta Utara
HP VIVO Y17 RAM 8/256GB 6/128GB Smartphone HP Android Garansie,655,4.4,"1,8RB Terjual",Jakarta Barat
VIVO Y17 RAM 8/256 GB FULLSET TERMURAH GARANSI 12 BULAN,585,,30 Terjual,Jakarta Barat
Smartphone HP A3S 6/128 GB GARANSI 1 TAHUN,435,,31 Terjual,Jakarta Barat
HP OPPO A5S 8/256GB  Ori 4G LTE SMARTPHONE FULLSET Garansi 1 Tahun Pemotretan HD {Promosi},543,4.8,38 Terjual,Jakarta Barat
[ponsel terlaris] HP OPPO A31 ram 6/128GB 4G LTE Smartphone Baru GARANSI 1 TAHUN [COD cicilan ],479,,5 Terjual,Jakarta Pusat
"Vivo Y19 8/256GB – Layar 6.53"" FullView | HP Baru | Garansi Toko 1 Tahun",480,5,19 Terjual,Jakarta Utara
NEW HP 0PPO A3S 6+128 GB PROMO MURAH FULSET,449,5,99 Terjual,Jakarta Barat
Emate.Tech OPPO A3S Smart Ponsel Kamera HD 16MP 4G LTE Dengan Sidik Jari Telepon Game Video(6+128GB),544.9,4.8,34 Terjual,Jakarta Pusat
REDMI 6A 3/32GB XIAOMI REDMI 6A 2/16GB | Xiaomi Redmi Note Mi Second Normal,375,4.8,262 Terjual,Jakarta Pusat
Oppo A18 5G 6/128 GB Garansi Resmi Indonesia Original,798,5,18 Terjual,Jakarta Barat
Big Promo 3.3 VIVO Y17 Ram 8/256GB Fullset Garansi 1 Tahun,581,4.7,434 Terjual,Jakarta Barat
"vivo Y19S 50 MP AI Camera, 5500mAh+15W FlashCharge, SGS Drop Resistance, IP64 Dust Waterproof, Dual Speaker Audio Boost",1.499.000,4.9,"7,8RB Terjual",Kab. Tangerang
VIVO Y17 HP Murah Cuci Gudang RAM 8+256GB Handphone Fast Charging Baterai 5000mAh Android Smartphone,585,4.7,85 Terjual,Jakarta Utara
"vivo Y29 (6/128) - Design Marmer Eksklusif, 6500mAh Tahan 3 Hari, Tahan Banting Ekstrem, AI Erase 2.0 + AI Circle to Search",2.399.000,4.9,873 Terjual,Kab. Tangerang
"vivo Y19S (6/128) - 50 MP AI Camera, 5500mAh+15W FlashCharge, SGS Drop Resistance, IP64 Dust Waterproof, Dual Speaker Audio Boost",1.899.000,4.9,"4,3RB Terjual",Kab. Tangerang
Realme Note 60x 4GB+8GB*|64GB Rangka Metal Tahan Banting | Baterai Besar 5000mAh | Tahan Debu dan Percikan Air | Garansi Kelancaran Hingga 48-Bulan,1.199.000,4.9,"2,7RB Terjual",Bandar Lampung
DZL - HP TECNO Spark Go1 4/128 4/64 3/64 GB Original Resmi Official Store Mall Handphone Ori GO 1,999,5,310 Terjual,Kab. Sleman
Vivo IQoo Z9x 8+128GB | 8+256GB | 12+256GB Original Garansi Resmi Vivo Indonesia 1Tahun,2.799.000,5,45 Terjual,Malang
Realme 14 5G 8GB+10GB|256GB (Snapdragon® 6 Gen 4 | 6000mAh Titan Battery | 45W Fast Charge | Bionic Cooling System),4.399.000,5,52 Terjual,Kab. Tangerang
realme C75 8GB+16GB*|256 GB | IP66/68/69 Dust & Water Resistance| Military Grade Shock Resistance | 6000mAh Massive Battery | NFC,2.799.000,4.9,"2,2RB Terjual",Jakarta Utara
Promo Terbatas Smartphone Type A77s Ram 8/128GB Garansi 1 Tahun/Fastcharging/33 Watt/Fullsett/Freegift,699,4.6,23 Terjual,Jakarta Barat
"vivo iQOO Z9x  Snapdragon 6 Gen 1 4nm (ANTUTU 570,456+), 6000 mAH, NFC, 1000 nits 120hz eye-care display, Dual Stereo Speaker",2.799.000,4.9,706 Terjual,Kab. Tangerang
"vivo Y03t (4+32) - IP54 Tahan Air, AI Dual Camera 5000mAh + 15W FlashCharge, Layar Sunlight 90Hz",1.199.000,4.9,"2,6RB Terjual",Kab. Tangerang
Nokia 105 2024 - 2025 NEW MODEL DUAL SIM & NOKIA 110 MEMORY KAMERA GARANSI RESMI 1 TAHUN !!!,248,4.8,927 Terjual,Palembang
"ZTE Blade A35  6,75"" Display FHD RAM 4GB ROM 64GB 5.000 mAh Fast Charge Garansi Resmi Android",925,5,232 Terjual,Jakarta Pusat
"vivo Y19S 50 MP AI Camera, 5500mAh+15W FlashCharge, SGS Drop Resistance, IP64 Dust Waterproof, Dual Speaker Audio Boost",1.499.000,4.9,"1,2RB Terjual",Kab. Tangerang
"Apple iPhone 13 128GB Midnight, Kamera Canggih, Baterai Tahan Lama",7.699.000,4.9,10RB+ Terjual,Kab. Tangerang
VIVO Y19s Y03t 6/128GB 4/128GB 4/64GB GARANSI RESMI 5000mAh Battery original Vivo hp,1.199.000,4.9,10RB+ Terjual,Jakarta Utara
"Realme C2 Minus Lcd, Mesin Normal Tanpa Pola",190,4.7,"1,1RB Terjual",Bogor
LZPPO SMARTPHONE Y03 RAM 4/64 GB - VIVO Y 03 RAM 4GB ROM 64GB GARANSI RESMI,980,,1 Terjual,Kab. Tangerang
Samsung Lipat Caramel GT E1272 Dual SIM  Lipat model lama Grosir,139.925,4.7,"3,4RB Terjual",Jakarta Barat
"HP NOKIA 216 BARU [GARANSI 1 TAHUN] Memori, Musik, Kamera, Bluetooth, Radio, MP3, Micro SD",198,4.7,656 Terjual,Jakarta Utara
iPhone 11Pro Max 64GB Second Original100% INTER 6.5“OLED-Ori Silent Camera Fullset Mulus Handphone,4.638.000,5,5 Terjual,Jakarta Utara
vivo y12i minus lcd baca deskripsi!!!,300,4.8,211 Terjual,Bogor
cassing samsung A35/A55 5G (PL),98,,,Bandar Lampung
✔️Grosir Samsung Flip Duos Gt E.1272 Original Normal Minus Kesing,84,4.9,502 Terjual,Kab. Cirebon
"[ HARGA PROMO ] A78 5G 8/128GB , 8/256GB Free TG Garansi 12 Bulan",860,5,38 Terjual,Jakarta Barat
Motorola G45 5G 8/128GB - Up to 16GB Extended RAM - Snapdragon 6s Gen 3 - 6.5 Inch Screen Size - Gorilla Glass 3 - 120Hz - 50MP Main Camera - 16MP Selfie Camera - 5000mAh - NFC - Dolby Atmos Stereo Speaker - Bonus Charger 20W & Clear Case,2.298.000,4.9,715 Terjual,Jakarta Utara
INFINIX Smart 9 4/128GB - Up to 8GB Extended RAM - 6.7 inch 120Hz Punch Hole Display - Helio G81 - 5000 mAh,1.135.000,4.9,"2,7RB Terjual",Jakarta Utara
"Official TECNO SPARK 30C – 8+8GB*+256GB, 120Hz Display, Sony 48MP Camera, Helio G81, 5000mAh, IP54, 7.8mm Ultra Slim, NFC, Garansi 12+1 Bulan",1.379.000,5,122 Terjual,Jakarta Pusat
"Telephone Selular Smartphone OPPO A78 RAM 8/128GB, 8/256GB 5G 33WATT FULLSET GARANSI 12 BULAN",835,5,70 Terjual,Jakarta Barat
realme P3 5G 12GB+14GB*|256GB (Snapdragon® 6 Gen 4 | 6000mAh Battery | 45W Fast Charge | NFC),3.999.000,5,149 Terjual,Jakarta Utara
PROMO 6.6 Smartphone type A78 RAM 8/128GB 8/256GB fullset  BERGARANSI 1 TAHUN,829,4.3,49 Terjual,Jakarta Barat
Tablet Advan Mito Evercoss Normal Siap Pakai,220,3.6,"3,4RB Terjual",Kab. Cirebon
